ts,chain,address,love,food,rent,vacation,total
2026-05-10T12:36:49+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:36:49+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.00,100.00,0.00,0.00,250000
2026-05-10T12:39:40+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:39:40+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.02,100.00,0.00,0.00,250050
2026-05-10T12:40:03+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:40:04+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.02,100.00,0.00,0.00,250050
2026-05-10T12:42:59+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:42:59+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.01,100.00,0.00,0.00,250025
2026-05-10T12:45:52+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:45:53+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.01,100.00,0.00,0.00,250025
2026-05-10T12:46:27+00:00,mainnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,,,,,
2026-05-10T12:46:27+00:00,testnet,ob1qw6zhsqg29aht23fksk5w54lkgavatpgltqxlvl,0.01,100.00,0.00,0.00,250025
