ts,chain,script,iter,pass,fail,skip,duration_s
2026-05-10T15:47:07,mainnet,01-chain-basic.sh,1,0,9,0,4
2026-05-10T15:47:10,mainnet,02-reputation.sh,1,0,5,0,3
2026-05-10T15:47:14,mainnet,03-stake-validators.sh,1,0,5,0,4
2026-05-10T15:47:18,mainnet,04-agents.sh,1,0,5,0,3
2026-05-10T15:47:23,mainnet,05-names.sh,1,0,5,0,4
2026-05-10T15:47:30,mainnet,06-exchange.sh,1,0,11,0,7
2026-05-10T15:47:32,mainnet,07-grid.sh,1,0,1,1,1
2026-05-10T15:47:35,mainnet,08-htlc-swap.sh,1,0,3,1,3
2026-05-10T15:47:40,mainnet,09-oracle.sh,1,0,7,0,5
2026-05-10T15:47:44,mainnet,10-notarize-sub.sh,1,0,3,0,3
2026-05-10T15:47:45,mainnet,11-escrow-channels.sh,1,0,2,0,1
2026-05-10T15:47:47,mainnet,12-governance.sh,1,0,2,0,1
2026-05-10T15:47:56,testnet,01-chain-basic.sh,1,10,0,0,8
2026-05-10T15:48:00,testnet,02-reputation.sh,1,13,0,0,4
2026-05-10T15:48:05,testnet,03-stake-validators.sh,1,4,1,2,3
2026-05-10T15:48:09,testnet,04-agents.sh,1,5,0,0,3
2026-05-10T15:48:13,testnet,05-names.sh,1,6,0,2,4
2026-05-10T15:48:21,testnet,06-exchange.sh,1,9,0,5,7
2026-05-10T15:48:23,testnet,07-grid.sh,1,2,0,0,2
2026-05-10T15:48:26,testnet,08-htlc-swap.sh,1,3,0,1,3
2026-05-10T15:48:31,testnet,09-oracle.sh,1,7,0,0,4
2026-05-10T15:48:34,testnet,10-notarize-sub.sh,1,3,0,0,2
2026-05-10T15:48:36,testnet,11-escrow-channels.sh,1,2,0,0,2
2026-05-10T15:48:39,testnet,12-governance.sh,1,2,0,0,2
2026-05-10T15:48:46,mainnet,01-chain-basic.sh,2,0,9,0,7
2026-05-10T15:48:50,mainnet,02-reputation.sh,2,0,5,0,3
2026-05-10T15:48:53,mainnet,03-stake-validators.sh,2,0,5,0,2
2026-05-10T15:48:58,mainnet,04-agents.sh,2,0,5,0,4
2026-05-10T15:49:02,mainnet,05-names.sh,2,0,5,0,4
2026-05-10T15:49:10,mainnet,06-exchange.sh,2,0,11,0,7
2026-05-10T15:49:12,mainnet,07-grid.sh,2,0,1,1,1
2026-05-10T15:49:15,mainnet,08-htlc-swap.sh,2,0,3,1,3
2026-05-10T15:49:20,mainnet,09-oracle.sh,2,0,7,0,5
2026-05-10T15:49:23,mainnet,10-notarize-sub.sh,2,0,3,0,2
2026-05-10T15:49:25,mainnet,11-escrow-channels.sh,2,0,2,0,1
2026-05-10T15:49:27,mainnet,12-governance.sh,2,0,2,0,1
2026-05-10T15:49:35,testnet,01-chain-basic.sh,2,10,0,0,7
2026-05-10T15:49:39,testnet,02-reputation.sh,2,13,0,0,3
2026-05-10T15:49:43,testnet,03-stake-validators.sh,2,4,1,2,4
2026-05-10T15:49:47,testnet,04-agents.sh,2,5,0,0,3
2026-05-10T15:49:51,testnet,05-names.sh,2,6,0,2,3
2026-05-10T15:49:59,testnet,06-exchange.sh,2,9,0,5,7
2026-05-10T15:50:02,testnet,07-grid.sh,2,2,0,0,2
2026-05-10T15:50:06,testnet,08-htlc-swap.sh,2,3,0,1,3
2026-05-10T15:50:11,testnet,09-oracle.sh,2,7,0,0,4
2026-05-10T15:50:14,testnet,10-notarize-sub.sh,2,3,0,0,2
2026-05-10T15:50:16,testnet,11-escrow-channels.sh,2,2,0,0,1
2026-05-10T15:50:18,testnet,12-governance.sh,2,2,0,0,1
2026-05-10T15:50:25,mainnet,01-chain-basic.sh,3,10,0,0,7
2026-05-10T15:50:30,mainnet,02-reputation.sh,3,13,0,0,5
2026-05-10T15:50:44,mainnet,03-stake-validators.sh,3,0,5,0,12
2026-05-10T15:50:48,mainnet,04-agents.sh,3,0,5,0,3
2026-05-10T15:50:53,mainnet,05-names.sh,3,0,5,0,4
