ts,minute_idx,calls,ok,fail,p50_ms,p95_ms,p99_ms,mean_ms
2026-05-10T12:45:20+00:00,0,121,55,66,206.8,630.7,1191.7,302.9
2026-05-10T12:46:20+00:00,1,121,61,60,188.6,576.2,999.0,245.1
2026-05-10T12:47:20+00:00,2,120,60,60,174.6,680.1,1558.5,252.2
2026-05-10T12:48:21+00:00,3,121,60,61,180.6,362.8,498.8,205.9
2026-05-10T12:49:21+00:00,4,120,60,60,185.1,509.5,1003.0,223.5
2026-05-10T12:50:22+00:00,5,120,111,9,197.9,1748.8,2371.7,418.2
2026-05-10T12:51:23+00:00,6,123,71,52,194.1,760.3,4704.4,311.0
2026-05-10T12:52:24+00:00,7,117,95,22,193.9,1261.9,2109.7,357.9
2026-05-10T12:53:24+00:00,8,127,119,8,208.6,1410.8,1660.2,394.5
2026-05-10T12:54:24+00:00,9,120,107,13,208.4,1598.9,1973.1,427.7
2026-05-10T12:55:25+00:00,10,121,106,15,222.6,1494.2,3497.1,475.3
2026-05-10T12:56:25+00:00,11,100,97,3,241.0,2314.5,5138.6,578.7
2026-05-10T12:57:26+00:00,12,141,57,84,187.2,1252.4,2207.3,356.5
2026-05-10T12:58:26+00:00,13,119,95,24,194.6,1603.2,2070.6,380.4
2026-05-10T12:59:27+00:00,14,122,118,4,203.3,1634.6,2801.0,444.9
2026-05-10T13:00:27+00:00,15,120,120,0,203.2,1378.0,2741.9,435.4
2026-05-10T13:01:28+00:00,16,120,120,0,201.8,1794.6,1936.7,431.5
2026-05-10T13:02:28+00:00,17,120,120,0,204.0,1311.0,2389.5,426.4
2026-05-10T13:03:28+00:00,18,123,123,0,196.7,1560.7,1816.4,407.9
2026-05-10T13:04:28+00:00,19,122,122,0,200.2,1361.9,2074.1,419.0
2026-05-10T13:05:29+00:00,20,121,121,0,194.5,1411.1,1789.1,413.8
2026-05-10T13:06:29+00:00,21,120,120,0,197.0,1543.1,1828.9,399.6
2026-05-10T13:07:29+00:00,22,121,121,0,200.0,1515.5,1781.1,435.3
2026-05-10T13:08:32+00:00,23,113,98,15,204.0,1866.8,5097.3,536.4
